olid,orderid,productid,qty,lineprice,linetotal,builtdate,promisedate,deldate
43911,29048,12,1,699.00,699.00,2022-07-23,2022-08-07
43912,29048,14,1,449.00,449.00,,2022-07-23,2022-08-07
43913,29049,18,1,24995.00,24995.00,2022-07-14,2022-07-23,2022-07-26
43914,29049,16,1,79.00,79.00,,2022-07-23,2022-07-26
43915,29049,17,1,495.00,495.00,,2022-07-23,2022-07-26
43916,29050,18,1,24995.00,24995.00,2022-07-19,2022-07-23,2022-07-29
43917,29050,16,1,79.00,79.00,,2022-07-23,2022-07-29
43918,29050,14,1,449.00,449.00,,2022-07-23,2022-07-29
43919,29050,13,1,4.95,4.95,,2022-07-23,2022-07-29
43920,29051,11,1,17995.00,17995.00,2022-07-14,2022-07-23,2022-07-19
43921,29051,14,1,449.00,449.00,,2022-07-23,2022-07-19
43922,29051,13,3,4.95,14.85,,2022-07-23,2022-07-19
43923,29052,18,1,24995.00,24995.00,2022-07-17,2022-07-23,2022-07-21
43924,29052,10,1,995.00,995.00,,2022-07-23,2022-07-21
43925,29052,16,3,79.00,237.00,,2022-07-23,2022-07-21
43926,29052,13,6,4.95,29.70,,2022-07-23,2022-07-21
43927,29053,11,1,17995.00,17995.00,2022-07-15,2022-07-23,2022-07-24
43928,29053,10,1,995.00,995.00,,2022-07-23,2022-07-24
43929,29053,16,1,79.00,79.00,,2022-07-23,2022-07-24
43930,29053,12,1,699.00,699.00,2022-07-23,2022-07-24
43931,29054,11,1,17995.00,17995.00,2022-07-21,2022-07-23,2022-08-05
43932,29054,10,1,995.00,995.00,,2022-07-23,2022-08-05
43933,29054,16,1,79.00,79.00,,2022-07-23,2022-08-05
43934,29054,12,1,699.00,699.00,2022-07-23,2022-08-05
43935,29054,14,1,449.00,449.00,,2022-07-23,2022-08-05
43936,29054,13,3,4.95,14.85,,2022-07-23,2022-08-05
43937,29055,11,1,17995.00,17995.00,2022-07-22,2022-07-23,2022-07-28
43938,29055,16,1,79.00,79.00,,2022-07-23,2022-07-28
43939,29055,14,1,449.00,449.00,,2022-07-23,2022-07-28
43940,29056,11,1,17995.00,17995.00,2022-07-15,2022-07-23,2022-07-25
43941,29056,16,2,79.00,158.00,,2022-07-23,2022-07-25
43942,29056,15,1,995.00,995.00,,2022-07-23,2022-07-25
43943,29056,17,1,495.00,495.00,,2022-07-23,2022-07-25
43944,29056,13,6,4.95,29.70,,2022-07-23,2022-07-25
43945,29057,11,1,17995.00,17995.00,2022-07-19,2022-07-23,2022-07-22
43946,29057,16,1,79.00,79.00,,2022-07-23,2022-07-22
43947,29058,13,5,4.95,24.75,,,2022-03-26
43948,29059,19,1,27995.00,27995.00,2022-08-02,2022-07-24,2022-08-09
43949,29059,14,1,449.00,449.00,,2022-07-24,2022-08-09
43950,29059,13,7,4.95,34.65,,2022-07-24,2022-08-09
43951,29060,11,1,17995.00,17995.00,2022-07-20,2022-07-24,2022-08-02
43952,29060,10,1,995.00,995.00,,2022-07-24,2022-08-02
43953,29060,16,1,79.00,79.00,,2022-07-24,2022-08-02
43954,29060,12,1,699.00,699.00,2022-07-24,2022-08-02
43955,29060,14,1,449.00,449.00,,2022-07-24,2022-08-02
43956,29061,18,1,24995.00,24995.00,2022-07-20,2022-07-24,2022-07-21
43957,29061,16,1,79.00,79.00,,2022-07-24,2022-07-21
43958,29062,16,1,79.00,79.00,,,2022-03-26
43959,29063,13,3,4.95,14.85,,,2022-03-26
43960,29063,16,3,79.00,237.00,,,2022-03-26
43961,29063,14,1,449.00,449.00,,,2022-03-26
43962,29064,18,1,24995.00,24995.00,2022-07-14,2022-07-24,2022-07-21
43963,29064,10,1,995.00,995.00,,2022-07-24,2022-07-21
43964,29065,14,1,449.00,449.00,,,2022-03-26
43965,29066,19,1,27995.00,27995.00,2022-08-04,2022-07-24,2022-08-09
43966,29066,16,1,79.00,79.00,,2022-07-24,2022-08-09
43967,29067,11,1,17995.00,17995.00,2022-07-23,2022-07-24,2022-08-02
43968,29067,16,3,79.00,237.00,,2022-07-24,2022-08-02
43969,29067,17,1,495.00,495.00,,2022-07-24,2022-08-02
43970,29067,13,1,4.95,4.95,,2022-07-24,2022-08-02
43971,29068,18,1,24995.00,24995.00,2022-07-19,2022-07-24,2022-07-28
43972,29068,10,1,995.00,995.00,,2022-07-24,2022-07-28
43973,29068,16,2,79.00,158.00,,2022-07-24,2022-07-28
43974,29069,11,1,17995.00,17995.00,2022-07-20,2022-07-24,2022-08-02
43975,29069,10,1,995.00,995.00,,2022-07-24,2022-08-02
43976,29069,17,1,495.00,495.00,,2022-07-24,2022-08-02
43977,29070,18,1,24995.00,24995.00,2022-07-13,2022-07-24,2022-08-01
43978,29070,16,1,79.00,79.00,,2022-07-24,2022-08-01
43979,29070,15,1,995.00,995.00,,2022-07-24,2022-08-01
43980,29070,17,1,495.00,495.00,,2022-07-24,2022-08-01
43981,29071,18,1,24995.00,24995.00,2022-07-16,2022-07-24,2022-07-30
43982,29071,16,1,79.00,79.00,,2022-07-24,2022-07-30
43983,29072,18,1,24995.00,24995.00,2022-07-22,2022-07-24,2022-08-01
43984,29072,10,1,995.00,995.00,,2022-07-24,2022-08-01
43985,29072,12,1,699.00,699.00,2022-07-24,2022-08-01
43986,29073,11,1,17995.00,17995.00,2022-07-14,2022-07-24,2022-07-27
43987,29073,12,1,699.00,699.00,2022-07-24,2022-07-27
43988,29073,14,1,449.00,449.00,,2022-07-24,2022-07-27
43989,29074,18,1,24995.00,24995.00,2022-07-22,2022-07-24,2022-07-31
43990,29074,10,1,995.00,995.00,,2022-07-24,2022-07-31
43991,29074,16,1,79.00,79.00,,2022-07-24,2022-07-31
43992,29075,18,1,24995.00,24995.00,2022-07-18,2022-07-24,2022-07-30
43993,29075,16,1,79.00,79.00,,2022-07-24,2022-07-30
43994,29075,14,1,449.00,449.00,,2022-07-24,2022-07-30
43995,29076,13,6,4.95,29.70,,,2022-03-26
43996,29077,18,1,24995.00,24995.00,2022-07-19,2022-07-24,2022-07-31
43997,29077,14,1,449.00,449.00,,2022-07-24,2022-07-31
43998,29077,13,3,4.95,14.85,,2022-07-24,2022-07-31
43999,29078,18,1,24995.00,24995.00,2022-07-22,2022-07-25,2022-08-07
44000,29078,16,1,79.00,79.00,,2022-07-25,2022-08-07
44001,29078,12,1,699.00,699.00,2022-07-25,2022-08-07
44002,29078,13,5,4.95,24.75,,2022-07-25,2022-08-07
44003,29079,18,1,24995.00,24995.00,2022-07-18,2022-07-25,2022-07-19
44004,29079,16,3,79.00,237.00,,2022-07-25,2022-07-19
44005,29079,12,1,699.00,699.00,2022-07-25,2022-07-19
44006,29079,15,1,995.00,995.00,,2022-07-25,2022-07-19
44007,29079,13,6,4.95,29.70,,2022-07-25,2022-07-19
44008,29080,18,1,24995.00,24995.00,2022-07-21,2022-07-25,2022-07-30
44009,29080,16,1,79.00,79.00,,2022-07-25,2022-07-30
44010,29080,12,1,699.00,699.00,2022-07-25,2022-07-30
44011,29080,15,1,995.00,995.00,,2022-07-25,2022-07-30
44012,29080,13,3,4.95,14.85,,2022-07-25,2022-07-30
44013,29081,19,1,27995.00,27995.00,2022-07-23,2022-07-25,2022-07-26
44014,29082,18,1,24995.00,24995.00,2022-07-16,2022-07-25,2022-07-18
44015,29082,10,1,995.00,995.00,,2022-07-25,2022-07-18
44016,29083,18,1,24995.00,24995.00,2022-07-13,2022-07-25,2022-07-19
44017,29083,10,1,995.00,995.00,,2022-07-25,2022-07-19
44018,29083,16,2,79.00,158.00,,2022-07-25,2022-07-19
44019,29083,13,4,4.95,19.80,,2022-07-25,2022-07-19
44020,29084,11,1,17995.00,17995.00,2022-07-16,2022-07-25,2022-07-25
44021,29085,18,1,24995.00,24995.00,2022-07-16,2022-07-26,2022-07-23
44022,29085,12,1,699.00,699.00,2022-07-26,2022-07-23
44023,29086,18,1,24995.00,24995.00,2022-07-25,2022-07-26,2022-07-26
44024,29086,10,1,995.00,995.00,,2022-07-26,2022-07-26
44025,29086,15,1,995.00,995.00,,2022-07-26,2022-07-26
44026,29087,11,1,17995.00,17995.00,2022-07-21,2022-07-26,2022-08-04
44027,29087,16,1,79.00,79.00,,2022-07-26,2022-08-04
44028,29087,12,1,699.00,699.00,2022-07-26,2022-08-04
44029,29088,18,1,24995.00,24995.00,2022-07-16,2022-07-26,2022-07-28
44030,29088,10,1,995.00,995.00,,2022-07-26,2022-07-28
44031,29088,13,3,4.95,14.85,,2022-07-26,2022-07-28
44032,29089,13,5,4.95,24.75,,,2022-03-28
44033,29090,18,1,24995.00,24995.00,2022-07-22,2022-07-27,2022-07-25
44034,29090,17,1,495.00,495.00,2022-07-22,2022-07-27,2022-07-25
44035,29090,13,6,4.95,29.70,2022-07-22,2022-07-27,2022-07-25
44036,29091,11,1,17995.00,17995.00,2022-07-22,2022-07-27,2022-07-31
44037,29091,10,1,995.00,995.00,,2022-07-27,2022-07-31
44038,29091,14,1,449.00,449.00,,2022-07-27,2022-07-31
44039,29092,18,1,24995.00,24995.00,2022-07-22,2022-07-28,2022-07-25
44040,29092,10,1,995.00,995.00,,2022-07-28,2022-07-25
44041,29092,16,1,79.00,79.00,,2022-07-28,2022-07-25
44042,29092,13,4,4.95,19.80,,2022-07-28,2022-07-25
44043,29093,18,1,24995.00,24995.00,2022-07-21,2022-07-29,2022-07-29
44044,29093,10,1,995.00,995.00,,2022-07-29,2022-07-29
44045,29093,16,3,79.00,237.00,,2022-07-29,2022-07-29
44046,29094,13,3,4.95,14.85,,,2022-03-31
44047,29094,16,1,79.00,79.00,,,2022-03-31
44048,29095,19,1,27995.00,27995.00,2022-08-02,2022-07-30,2022-08-20
44049,29095,14,1,449.00,449.00,,2022-07-30,2022-08-20
44050,29095,15,1,995.00,995.00,,2022-07-30,2022-08-20
44051,29095,13,4,4.95,19.80,,2022-07-30,2022-08-20
44052,29096,14,1,449.00,449.00,,,2022-04-01
44053,29097,18,1,24995.00,24995.00,2022-07-24,2022-07-30,2022-08-03
44054,29097,10,1,995.00,995.00,,2022-07-30,2022-08-03
44055,29097,15,1,995.00,995.00,,2022-07-30,2022-08-03
44056,29097,13,2,4.95,9.90,,2022-07-30,2022-08-03
44057,29098,18,1,24995.00,24995.00,2022-07-20,2022-07-30,2022-07-26
44058,29098,10,1,995.00,995.00,,2022-07-30,2022-07-26
44059,29098,12,1,699.00,699.00,2022-07-30,2022-07-26
44060,29098,13,3,4.95,14.85,,2022-07-30,2022-07-26
44061,29099,11,1,17995.00,17995.00,2022-07-27,2022-07-30,2022-08-01
44062,29099,10,1,995.00,995.00,,2022-07-30,2022-08-01
44063,29099,16,1,79.00,79.00,,2022-07-30,2022-08-01
44064,29099,15,1,995.00,995.00,,2022-07-30,2022-08-01
44065,29100,18,1,24995.00,24995.00,2022-07-26,2022-07-30,2022-08-10
44066,29100,14,1,449.00,449.00,,2022-07-30,2022-08-10
44067,29100,15,1,995.00,995.00,,2022-07-30,2022-08-10
44068,29101,18,1,24995.00,24995.00,2022-07-21,2022-07-30,2022-08-10
44069,29101,15,1,995.00,995.00,,2022-07-30,2022-08-10
44070,29102,18,1,24995.00,24995.00,2022-07-25,2022-07-30,2022-08-11
44071,29102,15,1,995.00,995.00,,2022-07-30,2022-08-11
44072,29102,13,6,4.95,29.70,,2022-07-30,2022-08-11
44073,29103,19,1,27995.00,27995.00,2022-08-11,2022-07-31,2022-08-16
44074,29103,10,1,995.00,995.00,,2022-07-31,2022-08-16
44075,29103,16,1,79.00,79.00,,2022-07-31,2022-08-16
44076,29103,12,1,699.00,699.00,2022-07-31,2022-08-16
44077,29103,17,1,495.00,495.00,,2022-07-31,2022-08-16
44078,29104,18,1,24995.00,24995.00,2022-07-26,2022-07-31,2022-08-04
44079,29104,16,1,79.00,79.00,,2022-07-31,2022-08-04
44080,29104,14,1,449.00,449.00,,2022-07-31,2022-08-04
44081,29104,15,1,995.00,995.00,,2022-07-31,2022-08-04
44082,29104,13,4,4.95,19.80,,2022-07-31,2022-08-04
44083,29105,18,1,24995.00,24995.00,2022-07-25,2022-07-31,2022-08-05
44084,29105,13,7,4.95,34.65,2022-07-25,2022-07-31,2022-08-05
44085,29106,11,1,17995.00,17995.00,2022-07-27,2022-07-31,2022-08-03
44086,29106,12,1,699.00,699.00,2022-07-31,2022-08-03
44087,29106,14,1,449.00,449.00,,2022-07-31,2022-08-03
44088,29107,13,2,4.95,9.90,,,2022-04-02
44089,29107,16,1,79.00,79.00,,,2022-04-02
44090,29108,11,1,17995.00,17995.00,2022-07-23,2022-07-31,2022-08-10
44091,29108,12,1,699.00,699.00,2022-07-31,2022-08-10
44092,29109,11,1,17995.00,17995.00,2022-07-25,2022-07-31,2022-08-11
44093,29109,13,3,4.95,14.85,2022-07-25,2022-07-31,2022-08-11
44094,29110,11,1,17995.00,17995.00,2022-07-26,2022-07-31,2022-08-01
44095,29110,14,1,449.00,449.00,,2022-07-31,2022-08-01
44096,29110,17,1,495.00,495.00,,2022-07-31,2022-08-01
44097,29111,11,1,17995.00,17995.00,2022-07-29,2022-07-31,2022-08-05
44098,29111,16,3,79.00,237.00,,2022-07-31,2022-08-05
44099,29111,15,1,995.00,995.00,,2022-07-31,2022-08-05
44100,29111,17,1,495.00,495.00,,2022-07-31,2022-08-05
44101,29112,18,1,24995.00,24995.00,2022-07-20,2022-07-31,2022-08-07
44102,29112,16,1,79.00,79.00,,2022-07-31,2022-08-07
44103,29112,17,1,495.00,495.00,,2022-07-31,2022-08-07
44104,29113,19,1,27995.00,27995.00,2022-08-11,2022-07-31,2022-08-13
44105,29113,14,1,449.00,449.00,,2022-07-31,2022-08-13
44106,29113,13,7,4.95,34.65,,2022-07-31,2022-08-13
44107,29114,11,1,17995.00,17995.00,2022-07-29,2022-07-31,2022-08-11
44108,29114,10,1,995.00,995.00,,2022-07-31,2022-08-11
44109,29114,14,1,449.00,449.00,,2022-07-31,2022-08-11
44110,29114,13,4,4.95,19.80,,2022-07-31,2022-08-11
44111,29115,11,1,17995.00,17995.00,2022-07-23,2022-07-31,2022-08-05
44112,29115,16,1,79.00,79.00,,2022-07-31,2022-08-05
44113,29115,13,4,4.95,19.80,,2022-07-31,2022-08-05
44114,29116,11,1,17995.00,17995.00,2022-07-27,2022-07-31,2022-08-09
44115,29116,16,2,79.00,158.00,,2022-07-31,2022-08-09
44116,29116,15,1,995.00,995.00,,2022-07-31,2022-08-09
44117,29116,17,1,495.00,495.00,,2022-07-31,2022-08-09
44118,29116,13,4,4.95,19.80,,2022-07-31,2022-08-09
44119,29117,13,1,4.95,4.95,,,2022-04-02
44120,29117,14,1,449.00,449.00,,,2022-04-02
44121,29118,18,1,24995.00,24995.00,2022-07-27,2022-07-31,2022-08-01
44122,29118,10,1,995.00,995.00,,2022-07-31,2022-08-01
44123,29118,16,1,79.00,79.00,,2022-07-31,2022-08-01
44124,29118,14,1,449.00,449.00,,2022-07-31,2022-08-01
44125,29118,15,1,995.00,995.00,,2022-07-31,2022-08-01
44126,29118,13,4,4.95,19.80,,2022-07-31,2022-08-01
44127,29119,18,1,24995.00,24995.00,2022-07-24,2022-08-01,2022-07-25
44128,29119,14,1,449.00,449.00,,2022-08-01,2022-07-25
44129,29119,17,1,495.00,495.00,,2022-08-01,2022-07-25
44130,29120,11,1,17995.00,17995.00,2022-07-23,2022-08-01,2022-08-08
44131,29120,13,4,4.95,19.80,2022-07-23,2022-08-01,2022-08-08
44132,29121,11,1,17995.00,17995.00,2022-07-24,2022-08-01,2022-07-27
44133,29121,16,3,79.00,237.00,,2022-08-01,2022-07-27
44134,29121,13,4,4.95,19.80,,2022-08-01,2022-07-27
44135,29122,19,1,27995.00,27995.00,2022-08-11,2022-08-01,2022-08-16
44136,29122,16,1,79.00,79.00,,2022-08-01,2022-08-16
44137,29123,18,1,24995.00,24995.00,2022-07-24,2022-08-01,2022-07-30
44138,29123,10,1,995.00,995.00,,2022-08-01,2022-07-30
44139,29123,15,1,995.00,995.00,,2022-08-01,2022-07-30
44140,29123,13,1,4.95,4.95,,2022-08-01,2022-07-30
44141,29124,11,1,17995.00,17995.00,2022-07-31,2022-08-01,2022-08-04
44142,29124,10,1,995.00,995.00,,2022-08-01,2022-08-04
44143,29124,16,1,79.00,79.00,,2022-08-01,2022-08-04
44144,29124,15,1,995.00,995.00,,2022-08-01,2022-08-04
44145,29124,13,5,4.95,24.75,,2022-08-01,2022-08-04
44146,29125,19,1,27995.00,27995.00,2022-08-06,2022-08-01,2022-08-26
44147,29125,12,1,699.00,699.00,2022-08-01,2022-08-26
44148,29126,19,1,27995.00,27995.00,2022-08-15,2022-08-01,2022-08-24
44149,29126,16,3,79.00,237.00,,2022-08-01,2022-08-24
44150,29126,12,1,699.00,699.00,2022-08-01,2022-08-24
44151,29127,18,1,24995.00,24995.00,2022-07-26,2022-08-01,2022-07-30
44152,29127,10,1,995.00,995.00,,2022-08-01,2022-07-30
44153,29127,16,1,79.00,79.00,,2022-08-01,2022-07-30
44154,29127,12,1,699.00,699.00,2022-08-01,2022-07-30
44155,29127,13,5,4.95,24.75,,2022-08-01,2022-07-30
44156,29128,18,1,24995.00,24995.00,2022-07-30,2022-08-01,2022-08-12
44157,29128,10,1,995.00,995.00,,2022-08-01,2022-08-12
44158,29128,14,1,449.00,449.00,,2022-08-01,2022-08-12
44159,29128,15,1,995.00,995.00,,2022-08-01,2022-08-12
44160,29129,18,1,24995.00,24995.00,2022-07-24,2022-08-01,2022-07-31
44161,29129,10,1,995.00,995.00,,2022-08-01,2022-07-31
44162,29130,18,1,24995.00,24995.00,2022-07-23,2022-08-02,2022-08-01
44163,29130,10,1,995.00,995.00,,2022-08-02,2022-08-01
44164,29130,16,1,79.00,79.00,,2022-08-02,2022-08-01
44165,29130,13,1,4.95,4.95,,2022-08-02,2022-08-01
44166,29131,14,1,449.00,449.00,,,2022-04-04
44167,29131,20,1,95.00,95.00,,,2022-04-04
44168,29132,16,1,79.00,79.00,,,2022-04-04
44169,29133,11,1,17995.00,17995.00,2022-07-31,2022-08-02,2022-08-05
44170,29133,16,1,79.00,79.00,,2022-08-02,2022-08-05
44171,29133,15,1,995.00,995.00,,2022-08-02,2022-08-05
44172,29133,13,4,4.95,19.80,,2022-08-02,2022-08-05
44173,29134,18,1,24995.00,24995.00,2022-07-27,2022-08-02,2022-07-28
44174,29134,10,1,995.00,995.00,,2022-08-02,2022-07-28
44175,29134,14,1,449.00,449.00,,2022-08-02,2022-07-28
44176,29134,15,1,995.00,995.00,,2022-08-02,2022-07-28
44177,29135,19,1,27995.00,27995.00,2022-08-09,2022-08-02,2022-08-20
44178,29135,16,1,79.00,79.00,,2022-08-02,2022-08-20
44179,29136,19,1,27995.00,27995.00,2022-08-10,2022-08-02,2022-08-17
44180,29137,11,1,17995.00,17995.00,2022-07-28,2022-08-02,2022-08-08
44181,29137,15,1,995.00,995.00,,2022-08-02,2022-08-08
44182,29137,17,1,495.00,495.00,,2022-08-02,2022-08-08
44183,29137,13,3,4.95,14.85,,2022-08-02,2022-08-08
44184,29138,16,1,79.00,79.00,,,2022-04-04
44185,29139,11,1,17995.00,17995.00,2022-07-25,2022-08-02,2022-07-28
44186,29139,16,1,79.00,79.00,,2022-08-02,2022-07-28
44187,29139,13,6,4.95,29.70,,2022-08-02,2022-07-28
44188,29140,11,1,17995.00,17995.00,2022-07-27,2022-08-03,2022-08-08
44189,29140,14,1,449.00,449.00,,2022-08-03,2022-08-08
44190,29141,19,1,27995.00,27995.00,2022-08-11,2022-08-03,2022-08-26
44191,29141,14,1,449.00,449.00,,2022-08-03,2022-08-26
44192,29141,13,4,4.95,19.80,,2022-08-03,2022-08-26
44193,29142,13,2,4.95,9.90,,,2022-04-05
44194,29143,11,1,17995.00,17995.00,2022-07-28,2022-08-03,2022-08-08
44195,29143,16,1,79.00,79.00,,2022-08-03,2022-08-08
44196,29144,11,1,17995.00,17995.00,2022-07-30,2022-08-04,2022-08-05
44197,29144,16,3,79.00,237.00,,2022-08-04,2022-08-05
44198,29144,12,1,699.00,699.00,2022-08-04,2022-08-05
44199,29145,19,1,27995.00,27995.00,2022-08-14,2022-08-04,2022-08-18
44200,29145,10,1,995.00,995.00,,2022-08-04,2022-08-18
44201,29146,18,1,24995.00,24995.00,2022-07-28,2022-08-04,2022-08-02
44202,29146,10,1,995.00,995.00,,2022-08-04,2022-08-02
44203,29146,16,1,79.00,79.00,,2022-08-04,2022-08-02
44204,29146,13,4,4.95,19.80,,2022-08-04,2022-08-02
44205,29147,13,5,4.95,24.75,,,2022-04-06
44206,29148,19,1,27995.00,27995.00,2022-08-12,2022-08-04,2022-08-26
44207,29149,18,1,24995.00,24995.00,2022-07-28,2022-08-04,2022-08-13
44208,29150,11,1,17995.00,17995.00,2022-08-01,2022-08-05,2022-08-12
44209,29151,11,1,17995.00,17995.00,2022-07-28,2022-08-05,2022-08-03
44210,29151,15,1,995.00,995.00,,2022-08-05,2022-08-03
44211,29152,11,1,17995.00,17995.00,2022-07-28,2022-08-05,2022-08-08
44212,29152,10,1,995.00,995.00,,2022-08-05,2022-08-08
44213,29152,13,4,4.95,19.80,,2022-08-05,2022-08-08
44214,29153,18,1,24995.00,24995.00,2022-07-29,2022-08-06,2022-08-13
44215,29153,16,1,79.00,79.00,,2022-08-06,2022-08-13
44216,29153,15,1,995.00,995.00,,2022-08-06,2022-08-13
44217,29153,17,1,495.00,495.00,,2022-08-06,2022-08-13
44218,29153,13,3,4.95,14.85,,2022-08-06,2022-08-13
44219,29154,16,1,79.00,79.00,,,2022-04-08
44220,29155,19,1,27995.00,27995.00,2022-08-16,2022-08-06,2022-08-27
44221,29155,10,1,995.00,995.00,,2022-08-06,2022-08-27
44222,29155,14,1,449.00,449.00,,2022-08-06,2022-08-27
44223,29155,15,1,995.00,995.00,,2022-08-06,2022-08-27
44224,29155,17,1,495.00,495.00,,2022-08-06,2022-08-27
44225,29155,13,3,4.95,14.85,,2022-08-06,2022-08-27
44226,29156,11,1,17995.00,17995.00,2022-08-01,2022-08-06,2022-08-15
44227,29156,10,1,995.00,995.00,,2022-08-06,2022-08-15
44228,29156,16,2,79.00,158.00,,2022-08-06,2022-08-15
44229,29156,17,1,495.00,495.00,,2022-08-06,2022-08-15
44230,29156,13,2,4.95,9.90,,2022-08-06,2022-08-15
44231,29157,19,1,27995.00,27995.00,2022-08-20,2022-08-06,2022-08-23
44232,29157,10,1,995.00,995.00,,2022-08-06,2022-08-23
44233,29157,12,1,699.00,699.00,2022-08-06,2022-08-23
44234,29158,18,1,24995.00,24995.00,2022-08-05,2022-08-06,2022-08-12
44235,29158,17,1,495.00,495.00,2022-08-05,2022-08-06,2022-08-12
44236,29158,13,2,4.95,9.90,2022-08-05,2022-08-06,2022-08-12
44237,29159,11,1,17995.00,17995.00,2022-08-01,2022-08-06,2022-08-12
44238,29159,12,1,699.00,699.00,2022-08-06,2022-08-12
44239,29159,14,1,449.00,449.00,,2022-08-06,2022-08-12
44240,29159,17,1,495.00,495.00,,2022-08-06,2022-08-12
44241,29159,13,5,4.95,24.75,,2022-08-06,2022-08-12
44242,29160,11,1,17995.00,17995.00,2022-08-03,2022-08-07,2022-08-18
44243,29160,12,1,699.00,699.00,2022-08-07,2022-08-18
44244,29160,13,5,4.95,24.75,,2022-08-07,2022-08-18
44245,29161,18,1,24995.00,24995.00,2022-07-29,2022-08-07,2022-08-17
44246,29161,10,1,995.00,995.00,,2022-08-07,2022-08-17
44247,29161,16,1,79.00,79.00,,2022-08-07,2022-08-17
44248,29161,14,1,449.00,449.00,,2022-08-07,2022-08-17
44249,29161,13,2,4.95,9.90,,2022-08-07,2022-08-17
44250,29162,18,1,24995.00,24995.00,2022-08-01,2022-08-07,2022-08-21
44251,29163,18,1,24995.00,24995.00,2022-07-26,2022-08-07,2022-08-15
44252,29163,12,1,699.00,699.00,2022-08-07,2022-08-15
44253,29163,14,1,449.00,449.00,,2022-08-07,2022-08-15
44254,29163,13,4,4.95,19.80,,2022-08-07,2022-08-15
44255,29164,19,1,27995.00,27995.00,2022-08-16,2022-08-07,
44256,29164,10,1,995.00,995.00,,2022-08-07,
44257,29164,16,1,79.00,79.00,,2022-08-07,
44258,29164,12,1,699.00,699.00,2022-08-07,
44259,29164,17,1,495.00,495.00,,2022-08-07,
44260,29165,19,1,27995.00,27995.00,2022-08-17,2022-08-07,2022-08-21
44261,29165,12,1,699.00,699.00,2022-08-07,2022-08-21
44262,29165,15,1,995.00,995.00,,2022-08-07,2022-08-21
44263,29166,19,1,27995.00,27995.00,2022-08-15,2022-08-07,2022-08-20
44264,29166,12,1,699.00,699.00,2022-08-07,2022-08-20
44265,29166,15,1,995.00,995.00,,2022-08-07,2022-08-20
44266,29166,17,1,495.00,495.00,,2022-08-07,2022-08-20
44267,29166,13,3,4.95,14.85,,2022-08-07,2022-08-20
44268,29167,11,1,17995.00,17995.00,2022-08-02,2022-08-07,2022-08-20
44269,29167,16,1,79.00,79.00,,2022-08-07,2022-08-20
44270,29167,13,5,4.95,24.75,,2022-08-07,2022-08-20
44271,29168,11,1,17995.00,17995.00,2022-08-07,2022-08-07,2022-08-26
44272,29168,14,1,449.00,449.00,,2022-08-07,2022-08-26
44273,29168,13,3,4.95,14.85,,2022-08-07,2022-08-26
44274,29169,19,1,27995.00,27995.00,2022-08-21,2022-08-07,
44275,29169,16,1,79.00,79.00,,2022-08-07,
44276,29169,12,1,699.00,699.00,2022-08-07,
44277,29170,18,1,24995.00,24995.00,2022-08-04,2022-08-07,2022-08-18
44278,29170,16,1,79.00,79.00,,2022-08-07,2022-08-18
44279,29170,15,1,995.00,995.00,,2022-08-07,2022-08-18
44280,29171,18,1,24995.00,24995.00,2022-07-29,2022-08-07,2022-08-11
44281,29171,10,1,995.00,995.00,,2022-08-07,2022-08-11
44282,29171,14,1,449.00,449.00,,2022-08-07,2022-08-11
44283,29171,17,1,495.00,495.00,,2022-08-07,2022-08-11
44284,29171,13,4,4.95,19.80,,2022-08-07,2022-08-11
44285,29172,11,1,17995.00,17995.00,2022-08-01,2022-08-07,2022-08-02
44286,29172,16,1,79.00,79.00,,2022-08-07,2022-08-02
44287,29172,12,1,699.00,699.00,2022-08-07,2022-08-02
44288,29172,15,1,995.00,995.00,,2022-08-07,2022-08-02
44289,29173,18,1,24995.00,24995.00,2022-07-30,2022-08-07,2022-08-02
44290,29173,10,1,995.00,995.00,,2022-08-07,2022-08-02
44291,29173,15,1,995.00,995.00,,2022-08-07,2022-08-02
44292,29173,13,4,4.95,19.80,,2022-08-07,2022-08-02
44293,29174,18,1,24995.00,24995.00,2022-07-31,2022-08-07,2022-08-06
44294,29174,10,1,995.00,995.00,,2022-08-07,2022-08-06
44295,29174,13,5,4.95,24.75,,2022-08-07,2022-08-06
44296,29175,19,1,27995.00,27995.00,2022-08-17,2022-08-08,2022-08-29
44297,29175,16,1,79.00,79.00,,2022-08-08,2022-08-29
44298,29175,12,1,699.00,699.00,2022-08-08,2022-08-29
44299,29175,15,1,995.00,995.00,,2022-08-08,2022-08-29
44300,29175,13,6,4.95,29.70,,2022-08-08,2022-08-29
44301,29176,19,1,27995.00,27995.00,2022-08-19,2022-08-08,2022-08-20
44302,29176,12,1,699.00,699.00,2022-08-08,2022-08-20
44303,29176,14,1,449.00,449.00,,2022-08-08,2022-08-20
44304,29176,15,1,995.00,995.00,,2022-08-08,2022-08-20
44305,29177,11,1,17995.00,17995.00,2022-08-05,2022-08-08,2022-08-22
44306,29177,15,1,995.00,995.00,,2022-08-08,2022-08-22
44307,29178,18,1,24995.00,24995.00,2022-08-02,2022-08-08,2022-08-13
44308,29178,10,1,995.00,995.00,,2022-08-08,2022-08-13
44309,29178,16,1,79.00,79.00,,2022-08-08,2022-08-13
44310,29179,13,6,4.95,29.70,,,2022-04-10
